Time (EDT),AURSCO - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,AURSCO - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WJRDUT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WNDSCT - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsbladmin - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblapp - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblims - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vsblinternet - PGWU_BITSPERSEC_IMS,WSBOMA - EPC_PGW_APNDATA-card:0:vzwadmin - PGWU_BITSPERSEC_IMS
 1 Jan '19 00:00:00,0,0,0,0,0,0,0,257.76,0,0,0,319031.6,911561.28,0,0,0,169119.8133,1294989.147,0,2100.56
 1 Jan '19 00:05:00,0,0,0,0,0,0,0,631.9733333,0,0,0,659243.84,1321938.48,0,0,1923.866667,517703.04,1688487.893,0,1668.746667
 1 Jan '19 00:10:00,0,0,0,0,0,0,0,2270.213333,0,0,0,1126670.8,1386207.52,0,0,0,538616.96,1676887.173,0,1137.6
 1 Jan '19 00:15:00,0,0,0,0,0,0,0,784.9866667,0,0,0,584430.5333,1331828.907,0,0,0,542313.0933,1617658.4,0,1476.426667
 1 Jan '19 00:20:00,0,0,0,0,0,0,0,1472.826667,0,0,0,633312.32,1460420.773,0,0,0,459005.8133,1399944.613,0,1941.546667
 1 Jan '19 00:25:00,0,0,0,0,0,0,0,579.4933333,0,0,3553.786667,615992.3733,1177983.093,0,0,0,501639.4933,1087221.867,0,2170.053333
 1 Jan '19 00:30:00,0,0,0,0,0,0,0,694.0533333,0,0,0,357811.7067,1097039.467,0,0,0,545752.6133,1310771.6,0,1554.853333
 1 Jan '19 00:35:00,0,0,0,0,0,0,0,362.9333333,0,0,0,502102.0533,1155420.453,0,0,0,480807.9467,1338944.24,0,1201.226667
 1 Jan '19 00:40:00,0,0,0,0,0,0,0,572.72,0,0,0,348490.5867,1006775.2,0,0,0,324715.4133,993811.0133,0,697.7333333
 1 Jan '19 00:45:00,0,0,0,0,0,0,0,609.9733333,0,0,0,233605.7333,1085263.867,0,0,0,216397.4933,953989.92,0,1325.76
 1 Jan '19 00:50:00,0,0,0,0,0,0,0,516.88,0,0,0,374791.9733,1109036.507,0,0,0,307477.04,970090.2933,0,1250.4
 1 Jan '19 00:55:00,0,0,0,0,0,0,0,0,0,0,0,428916.0267,992740.1067,0,0,0,206326.56,1071165.44,0,1167.573333
